Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,shipping date (DateOrders),Shipping Mode,Shipping_Id
2,4,Advance shipping,0,1/14/2018 3:52,Standard Class,389
2,4,Advance shipping,0,1/14/2018 2:07,Standard Class,394
2,4,Advance shipping,0,1/13/2018 20:52,Standard Class,409
2,4,Advance shipping,0,1/13/2018 19:07,Standard Class,414
2,4,Advance shipping,0,1/13/2018 17:22,Standard Class,419
2,4,Advance shipping,0,5/19/2015 4:42,Standard Class,576
2,4,Advance shipping,0,1/27/2017 8:34,Standard Class,579
2,4,Advance shipping,0,6/16/2017 11:53,Standard Class,581
2,4,Advance shipping,0,2/23/2017 1:42,Standard Class,583
2,4,Advance shipping,0,3/20/2017 18:18,Standard Class,586
2,4,Advance shipping,0,5/17/2017 15:25,Standard Class,588
2,4,Advance shipping,0,05-12-2015 23:49,Standard Class,598
2,4,Advance shipping,0,1/23/2015 5:13,Standard Class,599
2,4,Advance shipping,0,5/16/2017 13:09,Standard Class,600
2,4,Advance shipping,0,3/25/2017 3:25,Standard Class,604
2,4,Advance shipping,0,11-04-2015 12:42,Standard Class,629
2,4,Advance shipping,0,10/30/2016 7:28,Standard Class,630
2,4,Advance shipping,0,03-11-2016 23:44,Standard Class,631
2,4,Advance shipping,0,12/17/2015 15:58,Standard Class,633
2,4,Advance shipping,0,9/29/2016 21:00,Standard Class,634
2,4,Advance shipping,0,12-01-2016 10:14,Standard Class,635
2,4,Advance shipping,0,12-07-2015 00:13,Standard Class,637
2,4,Advance shipping,0,12-01-2015 23:21,Standard Class,638
2,4,Advance shipping,0,02-05-2016 17:39,Standard Class,643
2,4,Advance shipping,0,11/19/2016 5:41,Standard Class,646
2,4,Advance shipping,0,01-05-2017 04:03,Standard Class,648
2,4,Advance shipping,0,11-08-2015 09:33,Standard Class,650
2,4,Advance shipping,0,11/29/2016 17:56,Standard Class,656
2,4,Advance shipping,0,9/21/2016 6:18,Standard Class,666
2,4,Advance shipping,0,9/25/2016 13:39,Standard Class,668
2,4,Advance shipping,0,12/16/2016 19:50,Standard Class,670
2,4,Advance shipping,0,8/13/2015 7:44,Standard Class,694
2,4,Advance shipping,0,06-04-2015 13:06,Standard Class,695
2,4,Advance shipping,0,09-07-2017 16:50,Standard Class,700
2,4,Advance shipping,0,8/30/2015 21:54,Standard Class,702
2,4,Advance shipping,0,10/14/2015 13:58,Standard Class,708
2,4,Advance shipping,0,9/19/2017 16:07,Standard Class,711
2,4,Advance shipping,0,7/18/2017 4:08,Standard Class,715
2,4,Advance shipping,0,6/27/2017 7:08,Standard Class,716
2,4,Advance shipping,0,06-10-2015 10:59,Standard Class,718
2,4,Advance shipping,0,6/30/2017 12:13,Standard Class,731
2,4,Advance shipping,0,11/19/2015 17:04,Standard Class,736
2,4,Advance shipping,0,12-07-2015 19:29,Standard Class,743
2,4,Advance shipping,0,09-11-2016 01:03,Standard Class,745
2,4,Advance shipping,0,11/19/2015 15:19,Standard Class,749
2,4,Advance shipping,0,11/18/2015 18:17,Standard Class,751
2,4,Advance shipping,0,1/30/2016 2:15,Standard Class,753
2,4,Advance shipping,0,12/30/2016 0:54,Standard Class,772
2,4,Advance shipping,0,09-02-2016 08:36,Standard Class,774
2,4,Advance shipping,0,1/18/2016 1:13,Standard Class,777
2,4,Advance shipping,0,12/15/2015 0:55,Standard Class,781
2,4,Advance shipping,0,12/24/2017 19:09,Standard Class,789
2,4,Advance shipping,0,10/16/2016 14:09,Standard Class,792
2,4,Advance shipping,0,12/16/2017 20:12,Standard Class,799
2,4,Advance shipping,0,12-11-2015 09:19,Standard Class,801
2,4,Advance shipping,0,01-08-2017 16:08,Standard Class,803
2,4,Advance shipping,0,10/26/2015 4:29,Standard Class,818
2,4,Advance shipping,0,7/26/2017 4:49,Standard Class,820
2,4,Advance shipping,0,08-01-2017 23:44,Standard Class,823
2,4,Advance shipping,0,09-11-2015 05:25,Standard Class,829
2,4,Advance shipping,0,6/18/2015 6:25,Standard Class,833
2,4,Advance shipping,0,9/13/2015 18:44,Standard Class,834
2,4,Advance shipping,0,10/18/2016 4:41,Standard Class,847
2,4,Advance shipping,0,7/19/2017 1:09,Standard Class,852
2,4,Advance shipping,0,09-11-2017 20:41,Standard Class,859
2,4,Advance shipping,0,12/31/2016 22:27,Standard Class,863
2,4,Advance shipping,0,9/18/2015 17:51,Standard Class,868
2,4,Advance shipping,0,06-06-2015 12:23,Standard Class,875
2,4,Advance shipping,0,10/25/2016 3:06,Standard Class,876
2,4,Advance shipping,0,6/20/2017 3:28,Standard Class,879
2,4,Advance shipping,0,7/26/2015 5:19,Standard Class,891
2,4,Advance shipping,0,1/16/2015 5:03,Standard Class,892
2,4,Advance shipping,0,1/22/2017 5:57,Standard Class,894
2,4,Advance shipping,0,9/29/2016 6:59,Standard Class,908
2,4,Advance shipping,0,11/23/2015 22:40,Standard Class,912
2,4,Advance shipping,0,11/15/2015 14:58,Standard Class,919
2,4,Advance shipping,0,3/14/2016 0:47,Standard Class,922
2,4,Advance shipping,0,10/22/2016 17:17,Standard Class,928
2,4,Advance shipping,0,1/30/2016 5:45,Standard Class,929
2,4,Advance shipping,0,12/15/2015 16:40,Standard Class,930
2,4,Advance shipping,0,04-02-2016 14:15,Standard Class,935
2,4,Advance shipping,0,11-05-2015 18:29,Standard Class,947
2,4,Advance shipping,0,01-11-2016 18:34,Standard Class,949
2,4,Advance shipping,0,10/21/2016 9:45,Standard Class,956
2,4,Advance shipping,0,10-10-2016 21:31,Standard Class,960
2,4,Advance shipping,0,11-10-2016 07:59,Standard Class,964
2,4,Advance shipping,0,11/27/2015 3:44,Standard Class,966
2,4,Advance shipping,0,1/13/2018 5:06,Standard Class,984
2,4,Advance shipping,0,01-12-2018 23:51,Standard Class,999
2,4,Advance shipping,0,01-12-2018 20:21,Standard Class,1009
2,4,Advance shipping,0,01-12-2018 18:35,Standard Class,1014
2,4,Advance shipping,0,01-12-2018 16:50,Standard Class,1019
2,4,Advance shipping,0,01-12-2018 15:05,Standard Class,1024
2,4,Advance shipping,0,01-12-2018 13:20,Standard Class,1029
2,4,Advance shipping,0,01-12-2018 11:35,Standard Class,1034
2,4,Advance shipping,0,12-06-2017 20:13,Standard Class,1037
2,4,Advance shipping,0,12-06-2017 18:28,Standard Class,1042
2,4,Advance shipping,0,12-06-2017 16:43,Standard Class,1047
2,4,Advance shipping,0,12-06-2017 13:13,Standard Class,1057
2,4,Advance shipping,0,12-06-2017 06:12,Standard Class,1077
2,4,Advance shipping,0,12-06-2017 04:27,Standard Class,1082
2,4,Advance shipping,0,12-06-2017 02:42,Standard Class,1087
2,4,Advance shipping,0,12-06-2017 00:57,Standard Class,1092
2,4,Advance shipping,0,12-05-2017 23:12,Standard Class,1097
2,4,Advance shipping,0,12-05-2017 19:42,Standard Class,1107
2,4,Advance shipping,0,12-05-2017 16:11,Standard Class,1117
2,4,Advance shipping,0,12-05-2017 14:26,Standard Class,1122
2,4,Advance shipping,0,12-05-2017 10:56,Standard Class,1132
2,4,Advance shipping,0,12-05-2017 07:26,Standard Class,1142
2,4,Advance shipping,0,12-05-2017 05:41,Standard Class,1147
2,4,Advance shipping,0,12-05-2017 03:56,Standard Class,1152
2,4,Advance shipping,0,11/18/2016 8:40,Standard Class,1178
2,4,Advance shipping,0,10-05-2016 22:24,Standard Class,1189
2,4,Advance shipping,0,11-06-2017 08:00,Standard Class,1207
2,4,Advance shipping,0,10/18/2017 12:03,Standard Class,1211
2,4,Advance shipping,0,10/16/2017 14:31,Standard Class,1214
2,4,Advance shipping,0,10/31/2017 17:07,Standard Class,1215
2,4,Advance shipping,0,10/13/2017 4:11,Standard Class,1216
2,4,Advance shipping,0,9/15/2015 12:46,Standard Class,1227
2,4,Advance shipping,0,10/16/2016 19:24,Standard Class,1231
2,4,Advance shipping,0,9/29/2017 14:22,Standard Class,1234
2,4,Advance shipping,0,10-05-2015 21:30,Standard Class,1243
2,4,Advance shipping,0,9/19/2016 1:45,Standard Class,1245
2,4,Advance shipping,0,8/26/2015 4:03,Standard Class,1255
2,4,Advance shipping,0,9/19/2015 7:52,Standard Class,1259
2,4,Advance shipping,0,8/21/2017 11:26,Standard Class,1264
2,4,Advance shipping,0,10/23/2015 11:40,Standard Class,1265
2,4,Advance shipping,0,10/22/2017 1:53,Standard Class,1267
2,4,Advance shipping,0,07-10-2017 05:11,Standard Class,1272
2,4,Advance shipping,0,8/25/2015 17:32,Standard Class,1280
2,4,Advance shipping,0,9/22/2015 18:12,Standard Class,1398
2,4,Advance shipping,0,10-04-2017 08:13,Standard Class,1403
2,4,Advance shipping,0,08-10-2017 21:26,Standard Class,1404
2,4,Advance shipping,0,10-09-2015 00:50,Standard Class,1414
2,4,Advance shipping,0,8/21/2017 23:42,Standard Class,1420
2,4,Advance shipping,0,06-07-2015 19:55,Standard Class,1423
2,4,Advance shipping,0,09-07-2017 23:51,Standard Class,1430
2,4,Advance shipping,0,09-10-2017 14:55,Standard Class,1432
2,4,Advance shipping,0,6/23/2017 12:03,Standard Class,1454
2,4,Advance shipping,0,10-06-2015 06:16,Standard Class,1467
2,4,Advance shipping,0,6/21/2015 20:15,Standard Class,1473
2,4,Advance shipping,0,8/19/2017 1:38,Standard Class,1495
2,4,Advance shipping,0,7/18/2017 14:38,Standard Class,1498
2,4,Advance shipping,0,11-08-2016 22:42,Standard Class,1501
2,4,Advance shipping,0,8/23/2017 10:44,Standard Class,1505
2,4,Advance shipping,0,6/24/2015 23:34,Standard Class,1509
2,4,Advance shipping,0,9/18/2017 19:06,Standard Class,1512
2,4,Advance shipping,0,9/23/2015 6:27,Standard Class,1513
2,4,Advance shipping,0,12/23/2015 6:51,Standard Class,1551
2,4,Advance shipping,0,02-09-2016 16:15,Standard Class,1555
2,4,Advance shipping,0,11/16/2016 0:37,Standard Class,1556
2,4,Advance shipping,0,12/21/2015 21:34,Standard Class,1557
2,4,Advance shipping,0,9/30/2016 2:15,Standard Class,1560
2,4,Advance shipping,0,2/22/2016 3:47,Standard Class,1562
2,4,Advance shipping,0,03-03-2016 23:03,Standard Class,1563
2,4,Advance shipping,0,12-03-2015 15:38,Standard Class,1569
2,4,Advance shipping,0,03-05-2016 11:50,Standard Class,1570
2,4,Advance shipping,0,2/28/2016 8:41,Standard Class,1573
2,4,Advance shipping,0,2/13/2016 14:50,Standard Class,1575
2,4,Advance shipping,0,1/23/2016 21:21,Standard Class,1582
2,4,Advance shipping,0,02-05-2016 07:09,Standard Class,1583
2,4,Advance shipping,0,3/17/2016 12:52,Standard Class,1588
2,4,Advance shipping,0,11/19/2015 6:33,Standard Class,1599
2,4,Advance shipping,0,12/13/2015 1:37,Standard Class,1608
2,4,Advance shipping,0,4/22/2016 8:58,Standard Class,1625
2,4,Advance shipping,0,08-02-2016 08:07,Standard Class,1628
2,4,Advance shipping,0,12/18/2016 17:23,Standard Class,1631
2,4,Advance shipping,0,7/16/2016 16:44,Standard Class,1633
2,4,Advance shipping,0,08-08-2016 18:16,Standard Class,1637
2,4,Advance shipping,0,8/20/2016 1:47,Standard Class,1639
2,4,Advance shipping,0,7/26/2016 11:27,Standard Class,1647
2,4,Advance shipping,0,8/19/2016 8:16,Standard Class,1648
2,4,Advance shipping,0,6/20/2016 18:52,Standard Class,1653
2,4,Advance shipping,0,11/30/2016 16:43,Standard Class,1654
2,4,Advance shipping,0,5/31/2016 18:54,Standard Class,1655
2,4,Advance shipping,0,01-10-2017 04:55,Standard Class,1657
2,4,Advance shipping,0,7/28/2016 19:31,Standard Class,1660
2,4,Advance shipping,0,4/21/2016 22:27,Standard Class,1671
2,4,Advance shipping,0,07-12-2017 16:45,Standard Class,1704
2,4,Advance shipping,0,8/15/2015 10:32,Standard Class,1712
2,4,Advance shipping,0,8/16/2017 5:19,Standard Class,1725
2,4,Advance shipping,0,9/28/2016 2:58,Standard Class,1726
2,4,Advance shipping,0,8/18/2015 8:36,Standard Class,1736
2,4,Advance shipping,0,9/25/2015 9:15,Standard Class,1743
2,4,Advance shipping,0,6/28/2017 9:25,Standard Class,1752
2,4,Advance shipping,0,8/31/2015 8:25,Standard Class,1764
2,4,Advance shipping,0,07-01-2015 09:44,Standard Class,1765
2,4,Advance shipping,0,9/19/2017 21:23,Standard Class,1779
2,4,Advance shipping,0,9/24/2017 8:14,Standard Class,1782
2,4,Advance shipping,0,8/17/2017 11:05,Standard Class,1785
2,4,Advance shipping,0,9/13/2015 9:58,Standard Class,1794
2,4,Advance shipping,0,8/23/2017 1:58,Standard Class,1803
2,4,Advance shipping,0,8/22/2015 10:42,Standard Class,1806
2,4,Advance shipping,0,7/14/2015 7:47,Standard Class,1808
2,4,Advance shipping,0,10/23/2015 1:10,Standard Class,1809
2,4,Advance shipping,0,6/19/2015 3:26,Standard Class,1814
2,4,Advance shipping,0,10-03-2017 04:12,Standard Class,1815
2,4,Advance shipping,0,9/22/2015 23:27,Standard Class,1825
2,4,Advance shipping,0,7/29/2015 20:54,Standard Class,1826
2,4,Advance shipping,0,7/31/2017 21:27,Standard Class,1833
2,4,Advance shipping,0,7/26/2017 13:34,Standard Class,1840
2,4,Advance shipping,0,06-05-2015 04:51,Standard Class,1844
2,4,Advance shipping,0,08-04-2015 15:17,Standard Class,1848
2,4,Advance shipping,0,7/24/2017 14:17,Standard Class,1852
2,4,Advance shipping,0,01-02-2016 10:21,Standard Class,1856
2,4,Advance shipping,0,12/14/2015 23:09,Standard Class,1859
2,4,Advance shipping,0,1/31/2016 18:32,Standard Class,1865
2,4,Advance shipping,0,11/17/2016 16:54,Standard Class,1870
2,4,Advance shipping,0,12/15/2017 5:40,Standard Class,1876
2,4,Advance shipping,0,01-05-2016 03:09,Standard Class,1882
2,4,Advance shipping,0,12-07-2015 14:14,Standard Class,1886
2,4,Advance shipping,0,10-12-2016 22:34,Standard Class,1899
2,4,Advance shipping,0,01-08-2016 18:45,Standard Class,1900
2,4,Advance shipping,0,3/23/2016 21:16,Standard Class,1901
2,4,Advance shipping,0,3/23/2016 9:00,Standard Class,1902
2,4,Advance shipping,0,02-01-2018 15:04,Standard Class,1904
2,4,Advance shipping,0,01-01-2018 07:34,Standard Class,1905
2,4,Advance shipping,0,02-02-2018 03:19,Standard Class,1915
2,4,Advance shipping,0,02-12-2016 10:49,Standard Class,1925
2,4,Advance shipping,0,3/14/2016 20:03,Standard Class,1928
2,4,Advance shipping,0,2/22/2016 21:18,Standard Class,1930
2,4,Advance shipping,0,11/22/2015 23:53,Standard Class,1938
2,4,Advance shipping,0,01-07-2017 19:07,Standard Class,1951
2,4,Advance shipping,0,10/16/2016 7:08,Standard Class,1955
2,4,Advance shipping,0,11-08-2015 06:02,Standard Class,1956
2,4,Advance shipping,0,03-04-2016 16:34,Standard Class,1957
2,4,Advance shipping,0,1/30/2016 7:30,Standard Class,1960
2,4,Advance shipping,0,01-07-2016 09:28,Standard Class,1964
2,4,Advance shipping,0,11/18/2017 19:33,Standard Class,1965
2,4,Advance shipping,0,12/18/2015 14:45,Standard Class,1968
2,4,Advance shipping,0,11/16/2017 9:44,Standard Class,1970
2,4,Advance shipping,0,01-03-2018 08:37,Standard Class,1975
2,4,Advance shipping,0,11/19/2017 6:03,Standard Class,1977
2,4,Advance shipping,0,11/16/2017 6:14,Standard Class,1987
2,4,Advance shipping,0,11/18/2017 2:02,Standard Class,1990
2,4,Advance shipping,0,01-03-2018 12:07,Standard Class,1992
2,4,Advance shipping,0,01-07-2016 19:58,Standard Class,2001
2,4,Advance shipping,0,11-10-2015 14:06,Standard Class,2004
2,4,Advance shipping,0,01-03-2016 03:52,Standard Class,2008
2,4,Advance shipping,0,08-01-2016 04:05,Standard Class,2021
2,4,Advance shipping,0,7/24/2016 1:39,Standard Class,2022
2,4,Advance shipping,0,4/28/2016 19:07,Standard Class,2023
2,4,Advance shipping,0,05-12-2016 17:42,Standard Class,2024
2,4,Advance shipping,0,12/19/2016 9:09,Standard Class,2027
2,4,Advance shipping,0,7/18/2016 10:46,Standard Class,2028
2,4,Advance shipping,0,07-02-2016 23:24,Standard Class,2034
2,4,Advance shipping,0,7/27/2016 8:29,Standard Class,2039
2,4,Advance shipping,0,7/15/2016 0:26,Standard Class,2044
2,4,Advance shipping,0,04-06-2016 11:05,Standard Class,2054
2,4,Advance shipping,0,7/23/2016 8:08,Standard Class,2056
2,4,Advance shipping,0,6/26/2016 0:59,Standard Class,2065
2,4,Advance shipping,0,04-09-2016 14:25,Standard Class,2067
2,4,Advance shipping,0,7/28/2016 7:15,Standard Class,2068
2,4,Advance shipping,0,6/27/2016 17:17,Standard Class,2074
2,4,Advance shipping,0,7/27/2016 17:14,Standard Class,2078
2,4,Advance shipping,0,4/16/2016 7:34,Standard Class,2079
2,4,Advance shipping,0,06-01-2016 05:24,Standard Class,2082
2,4,Advance shipping,0,10-01-2016 15:02,Standard Class,2096
2,4,Advance shipping,0,01-10-2017 03:10,Standard Class,2101
2,4,Advance shipping,0,11/13/2016 18:19,Standard Class,2109
2,4,Advance shipping,0,10/29/2016 19:12,Standard Class,2115
2,4,Advance shipping,0,9/29/2015 20:07,Standard Class,2125
2,4,Advance shipping,0,6/27/2015 4:08,Standard Class,2126
2,4,Advance shipping,0,6/30/2017 19:13,Standard Class,2142
2,4,Advance shipping,0,08-07-2017 02:21,Standard Class,2145
2,4,Advance shipping,0,09-03-2015 15:15,Standard Class,2149
2,4,Advance shipping,0,07-02-2015 08:30,Standard Class,2150
2,4,Advance shipping,0,8/22/2015 1:57,Standard Class,2151
2,4,Advance shipping,0,7/22/2015 1:28,Standard Class,2152
2,4,Advance shipping,0,7/19/2015 19:10,Standard Class,2158
2,4,Advance shipping,0,8/15/2015 17:33,Standard Class,2163
2,4,Advance shipping,0,09-09-2016 14:01,Standard Class,2164
2,4,Advance shipping,0,12-05-2017 00:26,Standard Class,2165
2,4,Advance shipping,0,12-04-2017 22:40,Standard Class,2170
2,4,Advance shipping,0,12-04-2017 20:55,Standard Class,2175
2,4,Advance shipping,0,3/24/2017 2:53,Standard Class,2192
2,4,Advance shipping,0,03-03-2017 09:24,Standard Class,2200
2,4,Advance shipping,0,2/24/2017 12:44,Standard Class,2201
2,4,Advance shipping,0,2/17/2017 9:04,Standard Class,2206
2,4,Advance shipping,0,12/28/2016 10:22,Standard Class,2222
2,4,Advance shipping,0,12/20/2016 6:10,Standard Class,2227
2,4,Advance shipping,0,12/19/2016 10:54,Standard Class,2230
2,4,Advance shipping,0,12-06-2016 05:50,Standard Class,2232
2,4,Advance shipping,0,11-10-2016 11:29,Standard Class,2240
2,4,Advance shipping,0,09-01-2016 09:50,Standard Class,2261
2,4,Advance shipping,0,8/23/2016 8:37,Standard Class,2262
2,4,Advance shipping,0,08-03-2016 03:23,Standard Class,2271
2,4,Advance shipping,0,7/28/2016 2:00,Standard Class,2275
2,4,Advance shipping,0,7/22/2016 0:36,Standard Class,2277
2,4,Advance shipping,0,7/14/2016 10:25,Standard Class,2281
2,4,Advance shipping,0,6/28/2016 19:33,Standard Class,2285
2,4,Advance shipping,0,6/13/2016 13:27,Standard Class,2292
2,4,Advance shipping,0,06-02-2016 19:56,Standard Class,2294
2,4,Advance shipping,0,05-10-2016 13:08,Standard Class,2303
2,4,Advance shipping,0,05-04-2016 17:00,Standard Class,2305
2,4,Advance shipping,0,04-04-2016 13:32,Standard Class,2312
2,4,Advance shipping,0,03-01-2016 18:30,Standard Class,2323
2,4,Advance shipping,0,2/22/2016 16:03,Standard Class,2325
2,4,Advance shipping,0,1/19/2016 5:14,Standard Class,2342
2,4,Advance shipping,0,12-04-2015 21:25,Standard Class,2358
2,4,Advance shipping,0,10/28/2015 3:47,Standard Class,2369
2,4,Advance shipping,0,10/20/2015 1:20,Standard Class,2372
2,4,Advance shipping,0,10/16/2015 11:30,Standard Class,2376
2,4,Advance shipping,0,10-10-2015 03:06,Standard Class,2379
2,4,Advance shipping,0,10-08-2015 23:05,Standard Class,2380
2,4,Advance shipping,0,09-08-2015 23:07,Standard Class,2386
2,4,Advance shipping,0,09-04-2015 01:45,Standard Class,2388
2,4,Advance shipping,0,8/14/2015 1:15,Standard Class,2398
2,4,Advance shipping,0,7/27/2015 7:35,Standard Class,2404
2,4,Advance shipping,0,7/17/2015 11:06,Standard Class,2409
2,4,Advance shipping,0,6/14/2015 16:35,Standard Class,2420
2,4,Advance shipping,0,5/21/2015 12:46,Standard Class,2427
2,4,Advance shipping,0,5/21/2015 0:30,Standard Class,2428
2,4,Advance shipping,0,05-11-2015 19:47,Standard Class,2436
2,4,Advance shipping,0,2/21/2015 18:40,Standard Class,2458
2,4,Advance shipping,0,2/14/2015 2:44,Standard Class,2464
2,4,Advance shipping,0,02-07-2015 20:05,Standard Class,2470
2,4,Advance shipping,0,01-08-2015 18:23,Standard Class,2478
2,4,Advance shipping,0,01-04-2015 16:17,Standard Class,2482
2,4,Advance shipping,0,04-09-2017 06:01,Standard Class,2488
2,4,Advance shipping,0,04-08-2017 19:30,Standard Class,2489
2,4,Advance shipping,0,2/28/2017 2:34,Standard Class,2496
2,4,Advance shipping,0,01-02-2017 09:29,Standard Class,2511
2,4,Advance shipping,0,11/14/2016 17:05,Standard Class,2522
2,4,Advance shipping,0,11-12-2016 02:01,Standard Class,2524
2,4,Advance shipping,0,11-06-2016 11:08,Standard Class,2526
2,4,Advance shipping,0,11-01-2016 13:46,Standard Class,2528
2,4,Advance shipping,0,09-06-2017 07:34,Standard Class,2531
2,4,Advance shipping,0,08-08-2017 15:08,Standard Class,2546
2,4,Advance shipping,0,11/21/2016 3:14,Standard Class,2551
2,4,Advance shipping,0,9/28/2017 15:35,Standard Class,2553
2,4,Advance shipping,0,10-12-2015 09:24,Standard Class,2558
2,4,Advance shipping,0,09-08-2017 08:36,Standard Class,2561
2,4,Advance shipping,0,08-08-2015 15:38,Standard Class,2569
2,4,Advance shipping,0,09-06-2017 09:19,Standard Class,2573
2,4,Advance shipping,0,10-08-2017 01:33,Standard Class,2578
2,4,Advance shipping,0,10-05-2017 08:45,Standard Class,2581
2,4,Advance shipping,0,4/17/2015 3:42,Standard Class,2587
2,4,Advance shipping,0,05-07-2015 00:10,Standard Class,2589
2,4,Advance shipping,0,1/22/2015 2:57,Standard Class,2591
2,4,Advance shipping,0,2/18/2015 11:50,Standard Class,2592
2,4,Advance shipping,0,3/31/2017 8:18,Standard Class,2597
2,4,Advance shipping,0,1/13/2015 3:29,Standard Class,2604
2,4,Advance shipping,0,3/24/2015 12:09,Standard Class,2612
2,4,Advance shipping,0,5/29/2017 21:43,Standard Class,2615
2,4,Advance shipping,0,04-03-2017 08:08,Standard Class,2621
2,4,Advance shipping,0,04-10-2017 01:17,Standard Class,2636
2,4,Advance shipping,0,5/24/2015 0:19,Standard Class,2648
2,4,Advance shipping,0,1/22/2015 18:43,Standard Class,2651
2,4,Advance shipping,0,1/30/2017 3:08,Standard Class,2652
2,4,Advance shipping,0,2/23/2017 8:42,Standard Class,2654
2,4,Advance shipping,0,4/17/2015 19:28,Standard Class,2680
2,4,Advance shipping,0,1/25/2015 18:32,Standard Class,2681
2,4,Advance shipping,0,3/18/2017 17:16,Standard Class,2691
2,4,Advance shipping,0,02-05-2015 10:17,Standard Class,2692
2,4,Advance shipping,0,12-02-2017 09:22,Standard Class,2702
2,4,Advance shipping,0,11/22/2017 7:38,Standard Class,2704
2,4,Advance shipping,0,2/16/2016 12:54,Standard Class,2713
2,4,Advance shipping,0,3/27/2016 19:52,Standard Class,2715
2,4,Advance shipping,0,2/14/2016 13:37,Standard Class,2726
2,4,Advance shipping,0,01-07-2016 12:58,Standard Class,2731
2,4,Advance shipping,0,11/14/2015 19:42,Standard Class,2732
2,4,Advance shipping,0,12/28/2015 0:43,Standard Class,2736
2,4,Advance shipping,0,11-11-2015 21:38,Standard Class,3192
2,4,Advance shipping,0,11/27/2015 9:00,Standard Class,3197
2,4,Advance shipping,0,11-04-2015 02:12,Standard Class,3210
2,4,Advance shipping,0,12-08-2015 06:00,Standard Class,3212
2,4,Advance shipping,0,11/19/2015 1:18,Standard Class,3215
2,4,Advance shipping,0,9/14/2016 7:53,Standard Class,3220
2,4,Advance shipping,0,01-10-2016 05:47,Standard Class,3230
2,4,Advance shipping,0,12-04-2015 17:55,Standard Class,3232
2,4,Advance shipping,0,02-05-2016 03:38,Standard Class,3235
2,4,Advance shipping,0,11/15/2015 9:43,Standard Class,3237
2,4,Advance shipping,0,11/23/2016 6:02,Standard Class,3240
2,4,Advance shipping,0,10/26/2015 16:45,Standard Class,3245
2,4,Advance shipping,0,12-12-2015 15:06,Standard Class,3247
2,4,Advance shipping,0,12/21/2015 4:03,Standard Class,3249
